Control area,Primary control,Main risk addressed,"ISO 42001 / NIST AI RMF alignment",Implementation notes
Organization-wide policy baseline,managed-settings.json with managed-only controls,"Weak local overrides; inconsistent policy","ISO 42001 AI management system and continual improvement; NIST Govern","Use managed settings for non-negotiable controls such as allowManagedHooksOnly and managed permission rules."
Sensitive file protection,"Deterministic deny rules for .env, secrets/, SSH, cloud creds, system credential paths","Sensitive information disclosure; prompt injection leading to secret exposure","NIST Map data access and Manage risk treatment","Prefer explicit deny rules over advisory ignore patterns. Use deny, ask, allow with source visibility in /permissions."
Redacted configuration access,cc-redact or equivalent managed redaction hook,Secret values entering model context,"ISO 42001 risk treatment; NIST Manage","Allow structural visibility where needed, but never expose live values. Keep redaction as a usability layer, not the only security control."
Shell abuse prevention,"Deny rules for curl, wget, nc, sudo, su, rm -rf, git push --force","Prompt injection and excessive agency","NIST Manage with least privilege and constrained actions","Block known-bad commands without prompting. Reserve prompts for bounded medium-risk commands only."
Compound command evasion,Managed PreToolUse Bash hook inspecting full command strings,"Parser bypass; hidden malicious subcommands","ISO 42001 control effectiveness; NIST Measure and Manage","Use hooks to inspect full Bash payloads for chaining, decode-and-execute, and mixed read-plus-egress patterns."
Network and egress control,"Sandbox domain allowlist; deny generic download/exfiltration tools","Secret exfiltration; supply chain and prompt-driven misuse","NIST Map external dependencies and Manage exposure","Use sandbox network controls and approved domains such as GitHub and package registries instead of broad shell-based network access."
Filesystem boundary,"Sandboxed allow-read / allow-write plus deny-read / deny-write paths","Access outside intended workspace; local secret discovery","NIST Map system context and Manage boundaries","Sandboxing provides OS-layer filesystem isolation and reduces prompt frequency while preserving explicit deny behavior."
Git and repo integrity,"Deny writes to .git/ and .husky/; deny force push; ask for higher-impact GitHub actions","Repository integrity loss; workflow subversion","ISO 42001 accountability and change control; NIST Govern","Allow low-risk read operations, prompt for consequential actions, and block irreversible or control-bypassing actions."
Prompt minimization,"Use allowlists for safe repetitive actions plus sandbox auto-allow within boundaries","Approval fatigue and unsafe click-through behavior","ISO 42001 continual improvement; NIST Measure and Manage","Tune ask-to-allow over time using telemetry while keeping hard denies stable."
Human-readable guidance,Managed CLAUDE.md and repo README.md,"Misunderstanding of controls; inconsistent usage","ISO 42001 governance and awareness; NIST Govern","CLAUDE.md gives behavioral guidance; hooks and settings provide deterministic enforcement."
Monitoring and review,"/permissions, hook logs, approval/denial trends, exception review","Control drift; excessive prompts; weak exceptions","ISO 42001 continual improvement; NIST Measure","Review recurring prompts, denied commands, and exception requests to refine controls without weakening the hard boundary."
